epoch,batch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
8,595.0,1.1692493,0.65625,,,,,
8,596.0,1.1261584,0.625,,,,,
8,597.0,0.89905584,0.65625,,,,,
8,598.0,1.0122001,0.625,,,,,
8,599.0,1.0108464,0.65625,,,,,
8,600.0,0.95009446,0.71875,,,,,
8,601.0,0.90739596,0.65625,,,,,
8,602.0,1.1704711,0.59375,,,,,
8,603.0,0.99006647,0.6875,,,,,
8,604.0,0.8573876,0.6875,,,,,
8,605.0,0.89329606,0.59375,,,,,
8,606.0,1.2395395,0.5,,,,,
8,607.0,0.74543506,0.6875,,,,,
8,608.0,1.1763109,0.5625,,,,,
8,609.0,0.784784,0.71875,,,,,
8,610.0,0.9557224,0.6875,,,,,
8,611.0,0.8401764,0.75,,,,,
8,612.0,0.8633905,0.75,,,,,
8,613.0,1.2498232,0.625,,,,,
8,614.0,1.3539008,0.53125,,,,,
8,615.0,1.1020899,0.71875,,,,,
8,616.0,1.0582341,0.65625,,,,,
